Test_ID,Sample_ID,Ts,IF,Vf_0,Flux_0,Time,Flux_t
2,15,85,700,3.2,245.6,7000,99.84
2,16,85,700,3.232,256.7,7000,98.52
2,17,85,700,3.187,253.5,7000,99.17
2,18,85,700,3.208,251.3,7000,99.19
2,19,85,700,3.248,248.4,7000,98.72
2,20,85,700,3.209,247.9,7000,100.18
2,21,85,700,3.235,250,7000,98.37
2,22,85,700,3.205,248.5,7000,98.8
2,23,85,700,3.206,250.9,7000,99.63
2,24,85,700,3.228,249,7000,98.6
2,25,85,700,3.19,248.8,7000,98.68
2,1,85,700,3.22,256.6,8000,98.63
2,2,85,700,3.206,257,8000,97.3
2,3,85,700,3.18,254.1,8000,98.69
2,4,85,700,3.207,253.3,8000,97.92
2,5,85,700,3.147,255,8000,98.02
2,6,85,700,3.168,256.3,8000,98.47
2,7,85,700,3.23,251,8000,96
2,8,85,700,3.167,251,8000,98.46
2,9,85,700,3.201,248.6,8000,99.53
2,10,85,700,3.239,248.8,8000,98.27
2,11,85,700,3.213,247.5,8000,98.42
2,12,85,700,3.26,252.3,8000,98.31
2,13,85,700,3.224,245.1,8000,97.65
2,14,85,700,3.207,250.8,8000,99.46
2,15,85,700,3.2,245.6,8000,99.88
2,16,85,700,3.232,256.7,8000,97.06
2,17,85,700,3.187,253.5,8000,98.92
2,18,85,700,3.208,251.3,8000,98.74
2,19,85,700,3.248,248.4,8000,97.9
2,20,85,700,3.209,247.9,8000,99.97
2,21,85,700,3.235,250,8000,97.88
2,22,85,700,3.205,248.5,8000,98.67
2,23,85,700,3.206,250.9,8000,99.46
2,24,85,700,3.228,249,8000,98.44
2,25,85,700,3.19,248.8,8000,98.35
2,1,85,700,3.22,256.6,9000,99.39
2,2,85,700,3.206,257,9000,94.84
2,3,85,700,3.18,254.1,9000,99.41
2,4,85,700,3.207,253.3,9000,98.68
2,5,85,700,3.147,255,9000,98.66
2,6,85,700,3.168,256.3,9000,97.4
2,7,85,700,3.23,251,9000,92.45
2,8,85,700,3.167,251,9000,98.32
2,9,85,700,3.201,248.6,9000,100.17
2,10,85,700,3.239,248.8,9000,98.99
2,11,85,700,3.213,247.5,9000,99.26
2,12,85,700,3.26,252.3,9000,98.22
2,13,85,700,3.224,245.1,9000,93.55
2,14,85,700,3.207,250.8,9000,100.27
2,15,85,700,3.2,245.6,9000,100.74
2,16,85,700,3.232,256.7,9000,94.83
2,17,85,700,3.187,253.5,9000,99.56
2,18,85,700,3.208,251.3,9000,98.45
2,19,85,700,3.248,248.4,9000,97.22
2,20,85,700,3.209,247.9,9000,100.66
2,21,85,700,3.235,250,9000,97.09
2,22,85,700,3.205,248.5,9000,99.56
2,23,85,700,3.206,250.9,9000,100.39
2,24,85,700,3.228,249,9000,99.07
2,25,85,700,3.19,248.8,9000,98.95
2,1,85,700,3.22,256.6,10000,99.63
2,2,85,700,3.206,257,10000,91.31
2,3,85,700,3.18,254.1,10000,99.69
2,4,85,700,3.207,253.3,10000,99
2,5,85,700,3.147,255,10000,98.66
2,6,85,700,3.168,256.3,10000,92.43
2,7,85,700,3.23,251,10000,90.48
2,8,85,700,3.167,251,10000,96.58
2,9,85,700,3.201,248.6,10000,100.13
2,10,85,700,3.239,248.8,10000,99.27
2,11,85,700,3.213,247.5,10000,99.46
2,12,85,700,3.26,252.3,10000,97.21
2,13,85,700,3.224,245.1,10000,90.5
2,14,85,700,3.207,250.8,10000,100.72
2,15,85,700,3.2,245.6,10000,101.23
2,16,85,700,3.232,256.7,10000,92.52
2,17,85,700,3.187,253.5,10000,99.8
2,18,85,700,3.208,251.3,10000,96.74
2,19,85,700,3.248,248.4,10000,95.99
2,20,85,700,3.209,247.9,10000,100.87
2,21,85,700,3.235,250,10000,94.56
2,22,85,700,3.205,248.5,10000,99.84
2,23,85,700,3.206,250.9,10000,100.72
2,24,85,700,3.228,249,10000,99.36
2,25,85,700,3.19,248.8,10000,99.03
3,1,105,700,3.19,263.7,0,100
3,2,105,700,3.2,254.6,0,100
3,3,105,700,3.21,256.5,0,100
3,4,105,700,3.24,251.4,0,100
3,5,105,700,3.22,252.4,0,100
3,6,105,700,3.11,252.7,0,100
3,7,105,700,3.17,245.7,0,100
3,8,105,700,3.24,248.1,0,100
3,9,105,700,3.2,251.2,0,100
3,10,105,700,3.24,248.8,0,100
3,11,105,700,3.24,254.1,0,100
3,12,105,700,3.16,249.5,0,100
3,13,105,700,3.22,257.4,0,100
3,14,105,700,3.23,258.1,0,100
3,15,105,700,3.21,250,0,100
3,16,105,700,3.17,250,0,100
3,17,105,700,3.23,251.8,0,100
3,18,105,700,3.17,248.3,0,100
3,19,105,700,3.27,250,0,100
3,20,105,700,3.24,246.1,0,100
3,21,105,700,3.22,252.1,0,100
3,22,105,700,3.2,250.4,0,100
3,23,105,700,3.21,245.2,0,100
3,24,105,700,3.22,252.4,0,100
3,25,105,700,3.22,250.2,0,100
3,1,105,700,3.19,263.7,1000,99.14
3,2,105,700,3.2,254.6,1000,99.53
3,3,105,700,3.21,256.5,1000,99.15
3,4,105,700,3.24,251.4,1000,99.64
3,5,105,700,3.22,252.4,1000,99.76
3,6,105,700,3.11,252.7,1000,99.56
3,7,105,700,3.17,245.7,1000,99.26
3,8,105,700,3.24,248.1,1000,98.94
3,9,105,700,3.2,251.2,1000,99.6
3,10,105,700,3.24,248.8,1000,99.96
3,11,105,700,3.24,254.1,1000,99.17
3,12,105,700,3.16,249.5,1000,99.43
3,13,105,700,3.22,257.4,1000,99.07
3,14,105,700,3.23,258.1,1000,99.46
3,15,105,700,3.21,250,1000,99.28
3,16,105,700,3.17,250,1000,98.95
3,17,105,700,3.23,251.8,1000,100
3,18,105,700,3.17,248.3,1000,99.59
3,19,105,700,3.27,250,1000,99.19
3,20,105,700,3.24,246.1,1000,99.14
3,21,105,700,3.22,252.1,1000,99.32
3,22,105,700,3.2,250.4,1000,99.4
3,23,105,700,3.21,245.2,1000,99.05
3,24,105,700,3.22,252.4,1000,99.6
3,25,105,700,3.22,250.2,1000,99.32
3,1,105,700,3.19,263.7,2000,98.07
3,2,105,700,3.2,254.6,2000,98.56
3,3,105,700,3.21,256.5,2000,97.79
3,4,105,700,3.24,251.4,2000,98.51
3,5,105,700,3.22,252.4,2000,98.99
3,6,105,700,3.11,252.7,2000,98.63
3,7,105,700,3.17,245.7,2000,98.36
3,8,105,700,3.24,248.1,2000,97.73
3,9,105,700,3.2,251.2,2000,98.67
3,10,105,700,3.24,248.8,2000,99.1
3,11,105,700,3.24,254.1,2000,98.29
3,12,105,700,3.16,249.5,2000,98.62
3,13,105,700,3.22,257.4,2000,97.88
3,14,105,700,3.23,258.1,2000,98.31
3,15,105,700,3.21,250,2000,98.26
3,16,105,700,3.17,250,2000,97.82
3,17,105,700,3.23,251.8,2000,98.98
3,18,105,700,3.17,248.3,2000,98.97
3,19,105,700,3.27,250,2000,98.02
3,20,105,700,3.24,246.1,2000,98.16
3,21,105,700,3.22,252.1,2000,98.55
3,22,105,700,3.2,250.4,2000,98.58
3,23,105,700,3.21,245.2,2000,98.15
3,24,105,700,3.22,252.4,2000,98.67
3,25,105,700,3.22,250.2,2000,98.34
3,1,105,700,3.19,263.7,3000,96.82
3,2,105,700,3.2,254.6,3000,97.66
3,3,105,700,3.21,256.5,3000,96.55
3,4,105,700,3.24,251.4,3000,97.36
3,5,105,700,3.22,252.4,3000,98
3,6,105,700,3.11,252.7,3000,97.61
3,7,105,700,3.17,245.7,3000,97.43
3,8,105,700,3.24,248.1,3000,96.53
3,9,105,700,3.2,251.2,3000,97.6
3,10,105,700,3.24,248.8,3000,98.02
3,11,105,700,3.24,254.1,3000,97.38
3,12,105,700,3.16,249.5,3000,97.7
3,13,105,700,3.22,257.4,3000,96.76
3,14,105,700,3.23,258.1,3000,97.42
3,15,105,700,3.21,250,3000,97.23
3,16,105,700,3.17,250,3000,96.95
3,17,105,700,3.23,251.8,3000,98
3,18,105,700,3.17,248.3,3000,98.13
3,19,105,700,3.27,250,3000,96.99
3,20,105,700,3.24,246.1,3000,97.03
3,21,105,700,3.22,252.1,3000,97.68
3,22,105,700,3.2,250.4,3000,97.63
3,23,105,700,3.21,245.2,3000,97.18
3,24,105,700,3.22,252.4,3000,97.65
3,25,105,700,3.22,250.2,3000,97.43
3,1,105,700,3.19,263.7,4000,97.87
3,2,105,700,3.2,254.6,4000,98.85
3,3,105,700,3.21,256.5,4000,97.53
3,4,105,700,3.24,251.4,4000,98.44
3,5,105,700,3.22,252.4,4000,99.16
3,6,105,700,3.11,252.7,4000,98.72
3,7,105,700,3.17,245.7,4000,98.53
3,8,105,700,3.24,248.1,4000,97.45
3,9,105,700,3.2,251.2,4000,98.56
3,10,105,700,3.24,248.8,4000,99.03
3,11,105,700,3.24,254.1,4000,98.49
3,12,105,700,3.16,249.5,4000,98.91
3,13,105,700,3.22,257.4,4000,97.66
3,14,105,700,3.23,258.1,4000,98.56
3,15,105,700,3.21,250,4000,98.35
3,16,105,700,3.17,250,4000,98.07
3,17,105,700,3.23,251.8,4000,99.2
3,18,105,700,3.17,248.3,4000,99.35
3,19,105,700,3.27,250,4000,97.99
3,20,105,700,3.24,246.1,4000,97.96
3,21,105,700,3.22,252.1,4000,98.8
3,22,105,700,3.2,250.4,4000,98.67
3,23,105,700,3.21,245.2,4000,98.28
3,24,105,700,3.22,252.4,4000,98.6
3,25,105,700,3.22,250.2,4000,98.27
3,1,105,700,3.19,263.7,5000,98.29
3,2,105,700,3.2,254.6,5000,99.5
3,3,105,700,3.21,256.5,5000,98.01
3,4,105,700,3.24,251.4,5000,99.11
3,5,105,700,3.22,252.4,5000,99.76
3,6,105,700,3.11,252.7,5000,99.48
3,7,105,700,3.17,245.7,5000,99.15
3,8,105,700,3.24,248.1,5000,98.02
3,9,105,700,3.2,251.2,5000,99.07
3,10,105,700,3.24,248.8,5000,99.5
3,11,105,700,3.24,254.1,5000,99.14
3,12,105,700,3.16,249.5,5000,99.42
3,13,105,700,3.22,257.4,5000,98.45
3,14,105,700,3.23,258.1,5000,99.21
3,15,105,700,3.21,250,5000,98.9
3,16,105,700,3.17,250,5000,98.53
3,17,105,700,3.23,251.8,5000,99.56
3,18,105,700,3.17,248.3,5000,99.98
3,19,105,700,3.27,250,5000,98.74
3,20,105,700,3.24,246.1,5000,98.41
3,21,105,700,3.22,252.1,5000,99.52
3,22,105,700,3.2,250.4,5000,99.27
3,23,105,700,3.21,245.2,5000,98.94
3,24,105,700,3.22,252.4,5000,99.12
3,25,105,700,3.22,250.2,5000,98.82
3,1,105,700,3.19,263.7,6000,97.43
3,2,105,700,3.2,254.6,6000,99.17
3,3,105,700,3.21,256.5,6000,97.49
3,4,105,700,3.24,251.4,6000,98.83
3,5,105,700,3.22,252.4,6000,99.28
3,6,105,700,3.11,252.7,6000,98.84
3,7,105,700,3.17,245.7,6000,98.58
3,8,105,700,3.24,248.1,6000,97.42
3,9,105,700,3.2,251.2,6000,98.47
3,10,105,700,3.24,248.8,6000,99.09
3,11,105,700,3.24,254.1,6000,98.45
3,12,105,700,3.16,249.5,6000,98.94
3,13,105,700,3.22,257.4,6000,97.78
3,14,105,700,3.23,258.1,6000,98.69
3,15,105,700,3.21,250,6000,98.58
3,16,105,700,3.17,250,6000,98.01
3,17,105,700,3.23,251.8,6000,99.43
3,18,105,700,3.17,248.3,6000,99.5
3,19,105,700,3.27,250,6000,98.13
3,20,105,700,3.24,246.1,6000,97.77
3,21,105,700,3.22,252.1,6000,99.08
3,22,105,700,3.2,250.4,6000,98.58
3,23,105,700,3.21,245.2,6000,98.45
3,24,105,700,3.22,252.4,6000,98.36
3,25,105,700,3.22,250.2,6000,98.06
3,1,105,700,3.19,263.7,7000,98.02
3,2,105,700,3.2,254.6,7000,99.89
3,3,105,700,3.21,256.5,7000,98.05
3,4,105,700,3.24,251.4,7000,99.31
3,5,105,700,3.22,252.4,7000,99.92
3,6,105,700,3.11,252.7,7000,99.32
3,7,105,700,3.17,245.7,7000,99.18
3,8,105,700,3.24,248.1,7000,97.82
3,9,105,700,3.2,251.2,7000,99.03
3,10,105,700,3.24,248.8,7000,99.62
3,11,105,700,3.24,254.1,7000,99.01
3,12,105,700,3.16,249.5,7000,99.58
3,13,105,700,3.22,257.4,7000,98.17
3,14,105,700,3.23,258.1,7000,99.16
3,15,105,700,3.21,250,7000,99.14
3,16,105,700,3.17,250,7000,98.81
3,17,105,700,3.23,251.8,7000,100.2
3,18,105,700,3.17,248.3,7000,99.98
3,19,105,700,3.27,250,7000,98.57
3,20,105,700,3.24,246.1,7000,98.32
3,21,105,700,3.22,252.1,7000,99.56
3,22,105,700,3.2,250.4,7000,99.14
3,23,105,700,3.21,245.2,7000,99.1
3,24,105,700,3.22,252.4,7000,99.12
3,25,105,700,3.22,250.2,7000,98.73
3,1,105,700,3.19,263.7,8000,97.47
3,2,105,700,3.2,254.6,8000,99.53
3,3,105,700,3.21,256.5,8000,97.45
3,4,105,700,3.24,251.4,8000,98.7
3,5,105,700,3.22,252.4,8000,99.55
3,6,105,700,3.11,252.7,8000,98.83
3,7,105,700,3.17,245.7,8000,98.85
3,8,105,700,3.24,248.1,8000,97.28
3,9,105,700,3.2,251.2,8000,98.5
3,10,105,700,3.24,248.8,8000,98.23
3,11,105,700,3.24,254.1,8000,98.61
3,12,105,700,3.16,249.5,8000,99.37
3,13,105,700,3.22,257.4,8000,97.89
3,14,105,700,3.23,258.1,8000,98.84
3,15,105,700,3.21,250,8000,99.13
3,16,105,700,3.17,250,8000,98.49
3,17,105,700,3.23,251.8,8000,99.95
3,18,105,700,3.17,248.3,8000,99.98
3,19,105,700,3.27,250,8000,98.28
3,20,105,700,3.24,246.1,8000,97.87
3,21,105,700,3.22,252.1,8000,99.39
3,22,105,700,3.2,250.4,8000,98.98
3,23,105,700,3.21,245.2,8000,98.97
3,24,105,700,3.22,252.4,8000,98.75
3,25,105,700,3.22,250.2,8000,97.92
3,1,105,700,3.19,263.7,9000,97.34
3,2,105,700,3.2,254.6,9000,100.54
3,3,105,700,3.21,256.5,9000,98.13
3,4,105,700,3.24,251.4,9000,98.01
3,5,105,700,3.22,252.4,9000,100.45
3,6,105,700,3.11,252.7,9000,99.12
3,7,105,700,3.17,245.7,9000,99.75
3,8,105,700,3.24,248.1,9000,97.72
3,9,105,700,3.2,251.2,9000,98.66
3,10,105,700,3.24,248.8,9000,99.24
3,11,105,700,3.24,254.1,9000,98.93
3,12,105,700,3.16,249.5,9000,100.19
3,13,105,700,3.22,257.4,9000,98.42
3,14,105,700,3.23,258.1,9000,98.94
3,15,105,700,3.21,250,9000,99.94
3,16,105,700,3.17,250,9000,99.33
3,17,105,700,3.23,251.8,9000,100.73
3,18,105,700,3.17,248.3,9000,100.92
3,19,105,700,3.27,250,9000,98.64
3,20,105,700,3.24,246.1,9000,98.55
3,21,105,700,3.22,252.1,9000,100.2
3,22,105,700,3.2,250.4,9000,99.62
3,23,105,700,3.21,245.2,9000,99.79
3,24,105,700,3.22,252.4,9000,99.44
3,25,105,700,3.22,250.2,9000,97.1
3,1,105,700,3.19,263.7,10000,97.13
3,2,105,700,3.2,254.6,10000,101.53
3,3,105,700,3.21,256.5,10000,98.82
3,4,105,700,3.24,251.4,10000,98.75
3,5,105,700,3.22,252.4,10000,101.11
3,6,105,700,3.11,252.7,10000,99.46
3,7,105,700,3.17,245.7,10000,100.62
3,8,105,700,3.24,248.1,10000,98.04
3,9,105,700,3.2,251.2,10000,99.11
3,10,105,700,3.24,248.8,10000,99.99
3,11,105,700,3.24,254.1,10000,99.15
3,12,105,700,3.16,249.5,10000,100.86
3,13,105,700,3.22,257.4,10000,98.71
3,14,105,700,3.23,258.1,10000,98.84
3,15,105,700,3.21,250,10000,100.86
3,16,105,700,3.17,250,10000,100
3,17,105,700,3.23,251.8,10000,101.48
3,18,105,700,3.17,248.3,10000,101.84
3,19,105,700,3.27,250,10000,99.18
3,20,105,700,3.24,246.1,10000,95.43
3,21,105,700,3.22,252.1,10000,98.92
3,22,105,700,3.2,250.4,10000,97.39
3,23,105,700,3.21,245.2,10000,94.99
3,24,105,700,3.22,252.4,10000,92.56
3,25,105,700,3.22,250.2,10000,89.13
